vertical_l1,vertical_l2,ad_eligible_brands,target_brands,brands_to_fill,non_brand_entities,ad_eligible_ratio
consumer_electronics,pet_supplies,36,146,110,0,1
consumer_electronics,laptop,116,146,30,0,1
health_wellness,healthcare,130,146,16,0,1
home_improvement,home_decor,130,146,16,0,1
mobility,automotive,131,146,15,0,1
food_beverage,snacks,132,146,14,0,1
home_appliance,kitchen_appliance,132,146,14,0,1
sports_outdoor,fitness,133,146,13,0,1
local_services,food_delivery,134,146,12,0,1
baby_parenting,baby_products,135,146,11,0,1
b2b_services,business_service,136,146,10,0,1
developer_tools,dev_platform,136,146,10,0,1
travel_hospitality,hotel_booking,138,146,8,0,1
saas,productivity,139,146,7,0,1
art_culture,craft,141,146,5,0,1
gaming_entertainment,gaming,141,146,5,0,1
pet,pet_supplies,141,146,5,0,1
beauty_personal_care,cosmetics,156,146,0,0,1
beauty_personal_care,skincare,220,146,0,0,1
consumer_electronics,smartphone,182,146,0,0,1
education,online_learning,152,146,0,0,1
fashion,apparel,210,146,0,0,1
fashion,footwear,223,146,0,0,1
finance,digital_banking,185,146,0,0,1
