vertical_l1,vertical_l2,ad_eligible_brands,target_brands,brands_to_fill,non_brand_entities,ad_eligible_ratio
consumer_electronics,pet_supplies,36,133,97,0,1
beauty_personal_care,skincare,69,133,64,0,1
consumer_electronics,smartphone,70,133,63,0,1
consumer_electronics,laptop,116,133,17,0,1
health_wellness,healthcare,130,133,3,0,1
home_improvement,home_decor,130,133,3,0,1
mobility,automotive,131,133,2,0,1
food_beverage,snacks,132,133,1,0,1
home_appliance,kitchen_appliance,132,133,1,0,1
art_culture,craft,141,133,0,0,1
b2b_services,business_service,136,133,0,0,1
baby_parenting,baby_products,135,133,0,0,1
beauty_personal_care,cosmetics,156,133,0,0,1
developer_tools,dev_platform,136,133,0,0,1
education,online_learning,137,133,0,0,1
fashion,apparel,210,133,0,0,1
fashion,footwear,223,133,0,0,1
finance,digital_banking,139,133,0,0,1
gaming_entertainment,gaming,141,133,0,0,1
local_services,food_delivery,134,133,0,0,1
pet,pet_supplies,141,133,0,0,1
saas,productivity,139,133,0,0,1
sports_outdoor,fitness,133,133,0,0,1
travel_hospitality,hotel_booking,138,133,0,0,1
